Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent
95304,ZCTA5 95304,15718.0,38.1,85890.0,27905.0,996.0,6.336684056495737,1320.0
95305,ZCTA5 95305,28.0,-666666666.0,-666666666.0,,28.0,100.0,-666666666.0
95306,ZCTA5 95306,823.0,56.0,52188.0,37678.0,212.0,25.759416767922236,657.0
95307,ZCTA5 95307,42844.0,31.3,50051.0,19319.0,7237.0,16.891513397441884,838.0
95310,ZCTA5 95310,2163.0,53.4,41417.0,28829.0,152.0,7.027276930189552,846.0
95311,ZCTA5 95311,1831.0,61.5,45682.0,24771.0,215.0,11.74221736755871,626.0
95312,ZCTA5 95312,290.0,38.5,41875.0,20733.0,77.0,26.551724137931036,-666666666.0
95313,ZCTA5 95313,1077.0,31.9,42358.0,24753.0,168.0,15.598885793871867,704.0
95314,ZCTA5 95314,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0
95315,ZCTA5 95315,13108.0,30.0,48025.0,15985.0,2530.0,19.30119011290815,839.0
95316,ZCTA5 95316,6416.0,35.0,60233.0,26259.0,1426.0,22.22568578553616,723.0
95317,ZCTA5 95317,946.0,28.4,34643.0,27473.0,165.0,17.441860465116278,413.0
95318,ZCTA5 95318,403.0,35.3,96696.0,42230.0,0.0,0.0,838.0
95319,ZCTA5 95319,1593.0,40.3,26503.0,12334.0,875.0,54.9278091650973,580.0
95320,ZCTA5 95320,12759.0,37.3,61726.0,28421.0,1631.0,12.78313347441022,1017.0
95321,ZCTA5 95321,3263.0,56.3,47165.0,32233.0,487.0,14.924915721728471,648.0
95322,ZCTA5 95322,9025.0,34.5,37578.0,22001.0,2261.0,25.05263157894737,638.0
95323,ZCTA5 95323,1083.0,39.2,51528.0,23338.0,128.0,11.819021237303787,742.0
95324,ZCTA5 95324,7610.0,38.5,52541.0,26023.0,686.0,9.014454664914586,912.0
95325,ZCTA5 95325,26.0,68.3,-666666666.0,40604.0,0.0,0.0,-666666666.0
95326,ZCTA5 95326,9948.0,35.0,56037.0,28084.0,1745.0,17.541214314435063,959.0
95327,ZCTA5 95327,7901.0,40.8,50833.0,20505.0,763.0,9.65700544234907,697.0
95328,ZCTA5 95328,6013.0,24.5,51048.0,12982.0,1158.0,19.2582737402295,766.0
95329,ZCTA5 95329,2650.0,48.4,57000.0,27976.0,188.0,7.09433962264151,891.0
95330,ZCTA5 95330,20253.0,32.9,66208.0,19949.0,2570.0,12.689478102009579,1355.0
95333,ZCTA5 95333,2793.0,33.3,46146.0,18238.0,831.0,29.752953813104188,614.0
95334,ZCTA5 95334,16366.0,29.2,55619.0,18297.0,3057.0,18.678968593425395,764.0
95335,ZCTA5 95335,171.0,54.4,-666666666.0,20102.0,0.0,0.0,-666666666.0
95336,ZCTA5 95336,47808.0,34.7,59694.0,23483.0,7059.0,14.76531124497992,1009.0
95337,ZCTA5 95337,34391.0,34.9,72082.0,27153.0,2799.0,8.138757232997005,1103.0
