City,State,Metro,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
Greenbush,WI,Sheboygan,Sheboygan,188400,188500,188700,188500,188300,188900,190300,191600,193300,195400,198000,200300
Burney,CA,Redding,Shasta,108300,108200,108000,107800,108400,109500,110200,111200,113200,115000,116400,118900
Oldtown,MD,Cumberland,Allegany,104200,104700,105100,105100,105600,106500,107000,106800,106700,106400,106200,105800
West Rutland,VT,Rutland,Rutland,127900,129000,129200,128700,128500,128800,128800,128600,128200,128100,127900,128100
Scott,PA,New Castle,Lawrence,151400,150700,150700,150800,151400,151800,152000,152100,152300,151800,151900,152600
Florissant,CO,Colorado Springs,Teller,201100,202200,203800,205200,206300,207300,208900,211100,213700,216100,218100,219900
Prattsburgh,NY,Corning,Steuben,77000,78300,79800,80800,82000,82300,81700,81700,83300,84000,83100,82100
Mount Penn,PA,Reading,Berks,91300,91700,92800,93400,93400,92500,91200,90100,89500,88500,87800,87500
Shady Side,MD,Baltimore,Anne Arundel,254800,253400,252900,253200,255200,258300,260700,261900,263900,266500,269400,272800
Walton Hills,OH,Cleveland,Cuyahoga,172000,173500,174700,175500,176700,178800,180100,180100,179000,178500,179100,180400
La Fontaine,IN,Wabash,Wabash,88000,87900,88400,88800,89100,89500,90200,90800,91100,91100,91200,92000
Ocean City,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,140800,141800,143200,145000,146800,148000,148700,149900,151400,152200,151300,149600
Oquirrh,UT,Salt Lake City,Salt Lake,262900,263900,264300,265600,268100,270600,272500,275000,278700,283300,288300,294500
Sheldon,VT,Burlington,Franklin,179700,179200,178900,179400,179800,179600,180500,182300,183700,185700,187000,187400
Decherd,TN,Tullahoma,Franklin,80200,81000,81800,82600,83000,83200,83800,84400,84800,84900,85000,85100
Drummonds,TN,Memphis,Tipton,108300,109000,108600,108600,108700,109300,110100,110500,111600,113300,114600,115100
Linn,MO,Jefferson City,Osage,138100,138700,139200,140100,140900,141500,141700,141800,142000,142500,142800,143300
New Hampton,NH,Laconia,Belknap,198700,198900,199300,200900,202200,201900,200400,199300,197900,196600,196900,197600
Wyandotte,OK,Miami,Ottawa,84300,84200,84100,84300,85100,85500,85500,86000,86500,86400,86000,86800
Bayville,NY,New York,Nassau,457400,458600,462500,463700,460500,458400,458100,458600,459700,463500,468200,474000
Bristol,WI,Madison,Dane,306300,311300,315200,319000,323700,328600,331500,332300,335000,339100,341800,342500
Quemahoning,PA,Somerset,Somerset,81300,81400,81800,82400,83200,83900,84600,84000,83900,84800,85500,85800
Lake Dallas,TX,Dallas-Fort Worth,Denton,195600,195900,196400,197400,198800,201000,203700,206000,207900,209900,211700,212800
Wrightsville,PA,York,York,116200,116900,116600,114700,112700,111900,111900,112400,113700,115400,116900,117300
Leisuretowne,NJ,Philadelphia,Burlington,116400,117200,117100,117800,119500,121600,124100,126500,127700,128400,129400,131300
Dalzell,SC,Sumter,Sumter,95900,95600,95800,96100,96300,96600,96900,97800,98700,98800,98500,98900
Braham,MN,Minneapolis-St Paul,Isanti,123800,122500,122300,122800,123800,124700,125300,125700,125900,126000,126900,128100
Stoneboro,PA,Youngstown,Mercer,101600,101800,101400,100700,99800,100100,100800,100500,99400,98600,98300,98500
Black Earth,WI,Madison,Dane,169500,169800,169700,169000,168900,170300,172200,174500,177100,179600,181500,184300
Farmersville,OH,Dayton,Montgomery,116700,117500,118400,119900,122100,123500,124100,125700,128200,130200,131800,133100
Naples,UT,Vernal,Uintah,222600,224000,225800,228100,229900,231500,233100,234800,236100,237300,239200,241600
Scotts,MI,Kalamazoo,Kalamazoo,157400,157300,157600,158100,158700,159100,159200,159400,159800,160500,161500,161800
Belews Creek,NC,Winston-Salem,Forsyth,153600,153500,154000,154600,154400,153900,153900,154400,155400,156300,156300,156000
Alvaton,KY,Bowling Green,Warren,185400,184800,184500,183700,181600,180100,179200,179300,181900,186100,190100,193400
Attica,MI,Detroit,Lapeer,143500,144900,145900,146700,147200,148000,149100,149900,150700,151500,151900,152700
Southmont,PA,Johnstown,Cambria,77600,77700,78400,78600,78800,79200,79100,78600,78000,77500,77100,77000
Londonderry,PA,Philadelphia,Chester,257000,258600,260200,261700,262900,264000,265800,268100,270600,273400,275200,276000
Milan,MO,,Sullivan,17400,17200,17600,18000,18300,18500,19000,19300,19400,19500,19700,19800
Moxee,WA,Yakima,Yakima,188700,190800,191000,190800,191700,193300,194300,194100,193800,193600,192500,191500
Ida,MI,Monroe,Monroe,152600,154400,155200,155600,156000,156500,157000,157300,157400,157700,158200,158200
Delaware,PA,Youngstown,Mercer,122600,122100,121000,120000,119500,120300,121100,121100,119900,118000,116300,115400
Valhalla,NY,New York,Westchester,523900,523000,522500,523000,524900,528000,531700,534200,534900,537700,542200,546400
Frelinghuysen,NJ,Allentown,Warren,307000,306900,306900,306400,303900,300500,297500,296500,296600,296200,295000,294100
Scribner,NE,Fremont,Dodge,79300,77300,75500,74200,74300,74700,75400,77900,81000,82800,83900,84000
Lawrence,NJ,Vineland,Cumberland,134500,136400,137600,139400,140600,141600,143700,145700,146600,146400,145400,145100
Liverpool,NY,Syracuse,Onondaga,133400,133700,133600,133500,133900,134400,134900,135700,136700,137900,138700,139300
Ash Grove,MO,Springfield,Greene,113500,114600,116200,116400,115300,114600,114400,113600,113200,114100,116200,118400
Union,PA,Lebanon,Lebanon,174600,175100,175600,176200,176300,175600,174800,174900,174900,174100,173000,172500
East Missoula,MT,Missoula,Missoula,206500,205600,205400,205800,205100,204100,204500,206200,208400,210700,213100,215100
Tyrone,PA,Harrisburg,Perry,129100,129600,130400,131300,132100,133000,133600,133600,133200,133200,133500,133600
Rolling Prairie,IN,Michigan City,La Porte,151400,153700,155100,155300,155300,155900,155500,154300,153300,151800,150000,148900
Trowbridge Park,MI,Marquette,Marquette,145600,146500,147500,148400,149100,149300,149400,149500,150300,151000,151300,152000
Barnesville,GA,Atlanta,Lamar,60900,61500,62100,62500,62600,62800,63100,63200,63100,63100,63400,63600
Hokendauqua,PA,Allentown,Lehigh,164200,164600,164500,164300,164400,165300,167300,168800,170300,172200,173800,175300
Montpelier,IN,,Blackford,63300,63300,63300,63300,63100,63000,63000,62900,62900,63100,63200,63300
Fairfield Harbour,NC,New Bern,Craven,163800,165000,165900,167100,168500,171100,173700,175200,176900,179800,181800,183300
Mac Arthur,WV,Beckley,Raleigh,66200,65600,65100,64900,64600,64400,64100,64100,64100,64100,64100,64100
Mazomanie,WI,Madison,Dane,181600,182300,183800,185500,186800,189000,191400,192800,193700,194500,194900,196400
Belvedere,SC,Augusta,Aiken,58700,59200,60700,62800,64400,66500,68200,69000,70600,74200,77400,80300
Upper Burrell,PA,Pittsburgh,Westmoreland,134800,135600,136600,137700,138500,139400,139800,139900,140200,140100,139200,138300
Kahoka,MO,Fort Madison,Clark,60200,61100,61900,62000,61800,62000,62800,63100,63400,64400,64700,64200
Bowman,SC,Orangeburg,Orangeburg,46500,46500,46300,46000,45900,46600,47100,47100,47200,46600,46100,46000
Delmont,PA,Pittsburgh,Westmoreland,140300,139400,138400,136800,136000,136400,136700,136300,135700,136000,136800,137500
Minoa,NY,Syracuse,Onondaga,118700,119500,120300,121200,121900,122300,122300,122600,123300,124100,124700,125100
Glen Saint Mary,FL,Jacksonville,Baker,152000,153900,155500,157200,158600,159500,160500,161300,161700,162900,165100,166900
Blacklick,PA,Johnstown,Cambria,75500,75900,76500,76900,76600,76500,76500,76100,75900,76300,76800,76900
Long Lake,IL,Chicago,Lake,104600,106400,108700,110500,112300,113700,114800,116400,117500,117300,117600,118500
