Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value
01257,ZCTA5 01257,2164.0,52.6,50688.0,34538.0,341.0,15.757855822550832,812.0,314500.0
01258,ZCTA5 01258,359.0,63.0,65739.0,45881.0,29.0,8.07799442896936,-666666666.0,417900.0
01259,ZCTA5 01259,556.0,60.2,61125.0,56822.0,40.0,7.194244604316546,950.0,386200.0
01260,ZCTA5 01260,545.0,42.9,101979.0,26842.0,26.0,4.770642201834862,-666666666.0,384400.0
01262,ZCTA5 01262,1196.0,54.3,45500.0,38899.0,164.0,13.7123745819398,847.0,366200.0
01264,ZCTA5 01264,161.0,61.4,75417.0,45563.0,26.0,16.149068322981368,875.0,355600.0
01266,ZCTA5 01266,1380.0,56.6,68542.0,46857.0,64.0,4.63768115942029,1398.0,380800.0
01267,ZCTA5 01267,7846.0,31.2,73085.0,30864.0,584.0,7.443283201631404,810.0,299300.0
01270,ZCTA5 01270,814.0,51.2,71250.0,38157.0,70.0,8.5995085995086,-666666666.0,279300.0
01301,ZCTA5 01301,17730.0,42.6,49024.0,28633.0,2217.0,12.504230118443317,713.0,185300.0
01330,ZCTA5 01330,1468.0,50.2,79118.0,40071.0,81.0,5.517711171662126,661.0,276200.0
01331,ZCTA5 01331,13205.0,43.9,51750.0,25349.0,2020.0,15.297235895494131,580.0,148500.0
01337,ZCTA5 01337,2598.0,50.6,65139.0,33697.0,188.0,7.236335642802156,1051.0,236700.0
01338,ZCTA5 01338,138.0,60.6,66375.0,25680.0,5.0,3.6231884057971016,-666666666.0,287500.0
01339,ZCTA5 01339,1461.0,49.4,51346.0,31610.0,152.0,10.403832991101986,639.0,228400.0
01340,ZCTA5 01340,1689.0,51.9,54063.0,29598.0,212.0,12.551805802249852,830.0,185300.0
01341,ZCTA5 01341,1716.0,50.2,89688.0,44806.0,48.0,2.797202797202797,1060.0,300400.0
01342,ZCTA5 01342,1768.0,47.4,102219.0,46922.0,164.0,9.276018099547512,954.0,334300.0
01343,ZCTA5 01343,46.0,59.1,83125.0,40280.0,0.0,0.0,-666666666.0,287500.0
