Zipcode,City,State,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
95954,Magalia,CA,Butte,171600,173500,174700,175700,175900,175200,175900,178500,181800,184000,186200,188100
95066,Scotts Valley,CA,Santa Cruz,811400,817400,825600,831200,836100,839900,841900,841100,837100,829700,825400,827600
94709,Berkeley,CA,Alameda,979300,981900,986400,989300,988500,987500,992700,1000500,1007700,1015600,1028500,1043600
91436,Los Angeles,CA,Los Angeles,1367500,1372000,1372100,1373800,1383400,1396600,1406900,1415800,1427000,1437700,1450300,1464000
93268,Taft,CA,Kern,87200,87100,87300,89100,91700,93000,93700,94500,94600,94100,93600,94300
95010,Capitola,CA,Santa Cruz,663100,668000,675300,684600,696800,707500,717800,729800,741000,745900,749900,752700
95338,Mariposa,CA,Mariposa,184700,185700,186900,188800,190100,190600,191800,193600,195900,198100,199600,201300
95252,Valley Springs,CA,Calaveras,240400,242000,245700,249600,253100,257500,262100,264100,266700,267300,263000,260800
90094,Los Angeles,CA,Los Angeles,807000,818800,829100,843000,856800,869200,884200,901400,915700,926400,935200,942300
93301,Bakersfield,CA,Kern,178300,178100,177900,177100,176400,176200,176600,176000,175500,175600,176500,176600
92845,Garden Grove,CA,Orange,594800,596700,598500,600900,603800,607200,611600,616400,620600,625200,629100,631500
95451,Kelseyville,CA,Lake,210600,212600,214300,216900,220900,225800,229600,233000,235700,238400,242000,246100
93442,Morro Bay,CA,San Luis Obispo,537600,542000,546400,551200,554800,559000,563000,563500,560800,561400,566400,574100
95203,Stockton,CA,San Joaquin,159800,161800,163400,165900,169600,173100,176000,178600,180200,182800,187100,190000
93247,Lindsay,CA,Tulare,140600,142400,143600,144400,145700,147800,148900,148800,149200,150200,151600,152200
93433,Grover Beach,CA,San Luis Obispo,442000,444100,445200,446200,446800,449400,453100,454900,455200,457800,460100,461600
94805,Richmond,CA,Contra Costa,457800,465300,470200,474000,477400,481900,488400,494800,498200,501500,508500,519200
93960,Soledad,CA,Monterey,301100,301200,302000,303900,308000,312900,316700,318700,319600,322200,326000,329400
95030,Los Gatos,CA,Santa Clara,2356200,2373000,2395500,2407300,2408000,2402800,2399800,2397300,2403600,2419200,2443700,2474600
93221,Exeter,CA,Tulare,190200,191200,192200,193100,193800,194500,195600,196100,196200,196700,198000,198100
90402,Santa Monica,CA,Los Angeles,3372000,3388400,3394900,3406800,3421000,3425900,3434900,3461600,3495500,3516400,3539000,3573400
95673,Rio Linda,CA,Sacramento,226200,228100,231400,236000,239800,243100,246700,249900,252800,256600,259000,259900
94707,Berkeley,CA,Alameda,1221300,1223000,1222900,1224300,1232700,1243300,1255400,1260800,1267100,1275900,1289200,1311100
94904,Kentfield,CA,Marin,1549700,1544300,1541300,1536900,1544200,1564000,1580100,1586600,1586000,1578000,1574100,1574700
95650,Loomis,CA,Placer,485900,491300,496100,502200,509300,515500,520300,524800,526100,528600,534500,542400
95357,Modesto,CA,Stanislaus,269800,271400,270900,270500,271700,273300,274700,276300,279000,282300,284200,284100
91502,Burbank,CA,Los Angeles,506100,512500,516100,517200,517900,519900,521100,521500,522800,527100,532600,536100
90670,Santa Fe Springs,CA,Los Angeles,430700,432800,433600,434100,434500,435000,436700,439700,443500,446300,448800,451400
93203,Arvin,CA,Kern,146600,146500,147100,148000,149200,151100,152900,154500,155500,155300,154500,154200
95605,West Sacramento,CA,Yolo,199500,202200,203300,204900,207300,209800,211900,214400,216700,219100,221600,224800
92314,Big Bear City,CA,San Bernardino,192300,194100,195300,196700,197600,198200,199200,201200,203200,205100,206600,208200
95946,Penn Valley,CA,Nevada,316600,317500,318400,319900,322400,325800,329800,333200,335700,337500,339600,343100
91377,Oak Park,CA,Ventura,709600,715200,719300,720400,721500,721100,719500,722000,729500,736700,740200,742800
94571,Rio Vista,CA,Solano,305800,308000,310700,312800,313500,314500,316400,318600,318900,319600,321900,324300
94502,Alameda,CA,Alameda,816700,816700,814200,813600,816500,818000,820200,825800,839900,857000,871500,883400
90623,La Palma,CA,Orange,682500,682800,682100,680700,678800,678900,682400,686900,690400,694200,697600,700400
96097,Yreka,CA,Siskiyou,151000,150700,151500,152400,152400,152700,153900,155100,155700,156000,155900,154800
91345,Los Angeles,CA,Los Angeles,445500,447500,449400,451000,452000,453200,455600,458300,460900,463200,465900,469100
93015,Fillmore,CA,Ventura,379100,382200,383200,383600,385000,385800,386500,389400,393500,397400,398100,397800
93614,Coarsegold,CA,Madera,217100,218200,218500,218500,218800,220300,222200,224100,225700,226700,228300,229600
94517,Clayton,CA,Contra Costa,765400,767600,770800,770800,769800,769700,771700,774900,778700,782600,785300,784700
94065,Redwood City,CA,San Mateo,1360000,1370100,1378900,1375600,1368800,1365400,1368200,1360200,1351800,1354200,1363700,1367400
92007,Encinitas,CA,San Diego,1003000,1004400,1004100,1009500,1016100,1022800,1035300,1054600,1067400,1070000,1079100,1099200
94542,Hayward,CA,Alameda,727700,729600,730900,734000,737800,738700,740300,742000,743900,745800,749100,754800
94552,Castro Valley,CA,Alameda,886200,888300,890700,895500,898700,897600,899400,903800,908800,913500,917700,922700
95391,Tracy,CA,San Joaquin,528100,532300,535900,538900,541600,542800,542500,542400,543600,545700,548800,551000
91024,Sierra Madre,CA,Los Angeles,898200,900200,900500,901100,901900,903400,910200,921400,932100,938900,945600,953100
95130,San Jose,CA,Santa Clara,1161400,1171000,1181100,1192800,1200000,1199200,1196100,1195800,1197400,1199200,1204800,1217600
91914,Chula Vista,CA,San Diego,623100,624700,624700,628800,631800,630600,630700,633100,634100,635700,639700,642900
95425,Cloverdale,CA,Sonoma,432000,440700,444800,443800,441000,439600,440100,443100,448600,453500,457400,462600
93210,Coalinga,CA,Fresno,153800,153200,152600,152500,152600,152200,151600,151400,151200,150700,151000,151600
93505,California City,CA,Kern,90100,89700,89800,90600,92100,93800,95200,96600,99600,104000,108200,111800
93449,Pismo Beach,CA,San Luis Obispo,744800,751200,758100,765900,773400,777100,777700,777000,777800,778700,776800,775100
93108,Montecito,CA,Santa Barbara,2896100,2906600,2907700,2912800,2925700,2936300,2934100,2917700,2907700,2923300,2942600,2944000
92582,San Jacinto,CA,Riverside,246200,247000,247900,249400,251400,254100,256700,258200,259400,261400,263200,263800
94708,Berkeley,CA,Alameda,1128900,1128900,1134200,1148500,1169100,1188700,1207400,1219700,1228900,1238700,1250900,1266800
93644,Oakhurst,CA,Madera,221500,224300,225700,226600,227500,229700,232500,235400,238100,240600,243400,245700
93908,Salinas,CA,Monterey,686000,683800,686200,694700,702900,705900,708600,714400,721900,725900,726400,728500
95073,Soquel,CA,Santa Cruz,797000,802500,813700,823600,828700,830600,830400,830300,829500,825900,822100,823900
93212,Corcoran,CA,Kings,126200,126400,127000,127100,126500,125600,125600,125000,123500,121600,120400,121900
93730,Fresno,CA,Fresno,384500,386400,388500,390900,393900,394800,393700,394000,396800,399000,400500,403200
95320,Escalon,CA,San Joaquin,319300,324900,331200,336900,340200,341900,342600,342700,343300,345000,347700,349700
90014,Los Angeles,CA,Los Angeles,450000,454700,466200,474100,475200,480100,490900,497600,498100,499300,504600,511200
95006,Boulder Creek,CA,Santa Cruz,511900,520600,529900,536100,540200,542400,543400,543300,543000,541600,541200,543100
95368,Salida,CA,Stanislaus,262400,265000,266000,266000,268000,271200,274200,276400,278800,281900,284200,284900
92252,Joshua Tree,CA,San Bernardino,115300,117200,119600,121500,122500,122800,123500,124900,126600,127900,129000,130400
